,trade_date,ts_code,pre_close,up_limit,down_limit
423,20191009,000960.SZ,10.21,11.23,9.19
424,20191009,000961.SZ,8.23,9.05,7.41
425,20191009,000962.SZ,6.95,7.65,6.26
426,20191009,000963.SZ,26.18,28.8,23.56
427,20191009,000965.SZ,3.16,3.48,2.84
428,20191009,000966.SZ,4.72,5.19,4.25
429,20191009,000967.SZ,6.3,6.93,5.67
430,20191009,000968.SZ,10.41,11.45,9.37
431,20191009,000969.SZ,6.74,7.41,6.07
432,20191009,000970.SZ,9.68,10.65,8.71
433,20191009,000971.SZ,2.0,2.1,1.9
434,20191009,000972.SZ,2.58,2.71,2.45
435,20191009,000973.SZ,3.76,4.14,3.38
436,20191009,000975.SZ,13.11,14.42,11.8
437,20191009,000976.SZ,5.08,5.59,4.57
438,20191009,000977.SZ,24.8,27.28,22.32
439,20191009,000978.SZ,5.18,5.7,4.66
440,20191009,000980.SZ,3.43,3.77,3.09
441,20191009,000981.SZ,1.37,1.44,1.3
442,20191009,000982.SZ,1.64,1.72,1.56
443,20191009,000983.SZ,5.89,6.48,5.3
444,20191009,000985.SZ,14.02,15.42,12.62
445,20191009,000987.SZ,8.94,9.83,8.05
446,20191009,000988.SZ,19.41,21.35,17.47
447,20191009,000989.SZ,8.32,9.15,7.49
448,20191009,000990.SZ,14.93,16.42,13.44
449,20191009,000993.SZ,7.3,8.03,6.57
450,20191009,000996.SZ,10.21,11.23,9.19
451,20191009,000997.SZ,16.11,17.72,14.5
452,20191009,000998.SZ,12.62,13.88,11.36
453,20191009,000999.SZ,29.75,32.73,26.78
454,20191009,001696.SZ,5.58,6.14,5.02
455,20191009,001872.SZ,17.42,19.16,15.68
456,20191009,001896.SZ,3.45,3.8,3.11
457,20191009,001965.SZ,7.8,8.58,7.02
458,20191009,001979.SZ,19.53,21.48,17.58
459,20191009,002001.SZ,21.48,23.63,19.33
460,20191009,002002.SZ,4.25,4.68,3.83
461,20191009,002003.SZ,6.13,6.74,5.52
462,20191009,002004.SZ,4.86,5.35,4.37
463,20191009,002005.SZ,1.43,1.5,1.36
464,20191009,002006.SZ,4.78,5.26,4.3
465,20191009,002007.SZ,34.72,38.19,31.25
466,20191009,002008.SZ,35.6,39.16,32.04
467,20191009,002009.SZ,7.94,8.73,7.15
468,20191009,002010.SZ,7.66,8.43,6.89
469,20191009,002011.SZ,4.76,5.24,4.28
470,20191009,002012.SZ,4.71,5.18,4.24
471,20191009,002013.SZ,6.39,7.03,5.75
472,20191009,002014.SZ,7.06,7.77,6.35
473,20191009,002015.SZ,5.76,6.34,5.18
474,20191009,002016.SZ,8.88,9.77,7.99
475,20191009,002017.SZ,15.35,16.89,13.82
476,20191009,002018.SZ,0.21,0.23,0.19
477,20191009,002019.SZ,13.42,14.76,12.08
478,20191009,002020.SZ,10.52,11.57,9.47
479,20191009,002021.SZ,1.6,1.68,1.52
480,20191009,002022.SZ,9.51,10.46,8.56
481,20191009,002023.SZ,11.69,12.86,10.52
482,20191009,002024.SZ,10.38,11.42,9.34
483,20191009,002025.SZ,25.95,28.55,23.36
484,20191009,002026.SZ,5.16,5.68,4.64
485,20191009,002027.SZ,5.19,5.71,4.67
486,20191009,002028.SZ,11.13,12.24,10.02
487,20191009,002029.SZ,5.67,6.24,5.1
488,20191009,002030.SZ,10.25,11.28,9.23
489,20191009,002031.SZ,1.93,2.12,1.74
490,20191009,002032.SZ,72.61,79.87,65.35
491,20191009,002033.SZ,5.69,6.26,5.12
492,20191009,002034.SZ,15.21,16.73,13.69
493,20191009,002035.SZ,10.16,11.18,9.14
